threshold,recall,precision,f1,accuracy,auc
0.1,0.9785867237687366,0.35235158057054744,0.518140589569161,0.5173197047132311,0.8395932139441136
0.15000000000000002,0.9657387580299786,0.3841567291311755,0.5496648385131018,0.5803520726859739,0.8395932139441136
0.20000000000000004,0.9293361884368309,0.4011090573012939,0.5603615235635894,0.6132879045996593,0.8395932139441136
0.25000000000000006,0.9036402569593148,0.4254032258064516,0.5784784098697738,0.6507666098807495,0.8395932139441136
0.30000000000000004,0.8758029978586723,0.455456570155902,0.5992673992673992,0.6893810335036911,0.8395932139441136
0.3500000000000001,0.8458244111349036,0.4753309265944645,0.6086286594761171,0.7115275411697899,0.8395932139441136
0.40000000000000013,0.8051391862955032,0.5013333333333333,0.6179129005751849,0.7359454855195912,0.8395932139441136
0.45000000000000007,0.7773019271948608,0.5346097201767305,0.6335078534031413,0.7614991482112436,0.8395932139441136
0.5000000000000001,0.7408993576017131,0.5580645161290323,0.6366145354185833,0.7756956274843839,0.8395932139441136
0.5500000000000002,0.683083511777302,0.5747747747747748,0.62426614481409,0.7819420783645656,0.8395932139441136
0.6000000000000002,0.6274089935760171,0.6066252587991718,0.6168421052631579,0.7932992617830777,0.8395932139441136
