model,cv_f1,auc,recall,precision,f1,accuracy,threshold
GradientBoosting,0.6265164241497081,0.8395932139441136,0.7408993576017131,0.5580645161290323,0.6366145354185833,0.7756956274843839,0.5
RandomForest,0.6311745800669095,0.8368164382473549,0.734475374732334,0.5488,0.6282051282051282,0.7694491766042022,0.5
XGBoost,0.6311640602448244,0.8392258455265449,0.7473233404710921,0.5461658841940532,0.6311030741410488,0.768313458262351,0.5
CatBoost,0.6314528324496186,0.8408136383042802,0.702355460385439,0.5494137353433836,0.6165413533834586,0.768313458262351,0.5
